Unnamed: 0,Unnamed: 1,id,budget,original_language,popularity,runtime,release_year,release_month,release_quarter,pc_universal,pc_paramount,pc_columbia pictures,pc_disney,pc_metro-goldwyn-mayer,pc_new line,pc_canal,pc_touchstone pictures,pc_fox,pc_miramax,pc_united artists,pc_france,pc_village roadshow,pc_sony,pc_bbc,pc_studiocanal,pc_orion pictures,pc_working title films,pc_dimension films,pc_summit entertainment,pc_century_fox,pcn_US,pcn_GB,pcn_FR,pcn_DE,pcn_CA,pcn_IN,pcn_IT,pcn_JP,pcn_AU,pcn_ES,pcn_HK,pcn_BE,pcn_KR,pcn_SE,pcn_NL,pcn_CZ,pcn_NO,pcn_BR,pcn_AT,genre_history,genre_adventure,genre_family,genre_music,genre_action,genre_drama,genre_horror,genre_documentary,genre_thriller,genre_crime,genre_foreign,genre_war,genre_tv movie,genre_mystery,genre_western,genre_science fiction,genre_comedy,genre_romance,spl_en,spl_fr,spl_de,spl_ru,spl_ja,spl_cn,spl_ko,spl_hu,spl_sv,crew_size,crew_job_producer,crew_job_executive producer,crew_job_director,crew_job_screenplay,crew_job_editor,crew_job_casting,crew_job_director of photography,crew_job_original music composer,crew_job_art direction,crew_job_production design,crew_job_costume design,crew_job_writer,crew_job_set decoration,crew_job_sound re-recording mixer,crew_job_script supervisor,crew_job_camera operator,crew_job_animation,crew_job_hairstylist,crew_job_sound effects editor,crew_job_visual effects producer,crew_job_music editor,crew_job_dialogue editor,crew_job_co-producer,crew_job_music,crew_job_stunts,crew_job_associate producer,crew_job_novel,crew_job_sound designer,release_dayofweek,cast_size,budget_over_runtime,kw_woman director,kw_independent film,kw_duringcreditsstinger,kw_love,kw_revenge,kw_biography,kw_sport,kw_police,kw_suspense,kw_nudity,kw_teenager,kw_drug,kw_female nudity,kw_new york,kw_prison,kw_family,keywords_count,tagline_length,budget_over_popularity,cast_gender_0_perc,cast_gender_1_perc,cast_gender_2_perc,crew_gender_0_perc,crew_gender_1_perc,crew_gender_2_perc,production_companies_count,production_countries_count,spoken_languages_count
train,0,1,-0.49956867343765604,10,-0.1594393254854989,93.0,2015,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,72,2,4,2,0,2,2,2,2,2,2,2,2,2,3,2,2,0,3,2,2,3,2,0,0,0,2,0,0,4,24,-0.4623179144702262,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,52,-0.015250844263039562,0.25,0.3333333333333333,0.4166666666666667,0.8194444444444444,0.0,0.18055555555555555,3,1,1
train,1,2,0.259653535501704,10,-0.02187205084917899,113.0,2004,8,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,9,4,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0.22330739499487764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,60,-0.003434720825549425,0.0,0.5,0.5,0.1111111111111111,0.4444444444444444,0.4444444444444444,1,1,1
train,2,3,-0.8120178132703926,10,4.585709164788125,105.0,2014,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64,5,5,2,2,2,3,2,2,2,2,2,0,2,3,2,2,0,0,0,0,2,2,4,0,5,2,0,0,4,51,-0.8637252827743441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,47,-0.02427732241336664,0.6078431372549019,0.13725490196078433,0.2549019607843137,0.765625,0.0625,0.171875,3,1,1
train,3,4,-0.8733396070693409,16,-0.4389678841654386,122.0,2012,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,-0.9364938088076656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,-0.02285834345798925,0.5714285714285714,0.14285714285714285,0.2857142857142857,1.0,0.0,0.0,0,1,2
train,4,5,-1.0878165882071624e-16,24,-0.6055828219862593,118.0,2009,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,-0.08119657326697731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02450027458079497,0.0,0.0,1.0,1.0,0.0,0.0,0,1,1
train,5,6,-0.6747737985775083,10,-0.6388583618444035,83.0,1987,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,2,0,3,4,-0.6448149326680392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022257056105836386,0.5,0.0,0.5,0.6363636363636364,0.0,0.36363636363636365,0,0,1
train,6,7,-0.49956867343765604,10,-0.10098592183405834,92.0,2012,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,77,0,6,2,0,3,2,2,0,2,2,2,5,2,2,4,4,0,5,3,0,2,2,0,2,0,0,0,0,3,14,-0.4568035204836997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,-0.016153491990888124,0.2857142857142857,0.21428571428571427,0.5,0.7792207792207793,0.07792207792207792,0.14285714285714285,2,2,1
train,7,8,-1.0878165882071624e-16,10,-0.5397401697309578,84.0,2004,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.27841235519451096,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,37,-0.02450027458079497,0.75,0.0,0.25,0.0,1.0,0.0,0,0,2
train,8,9,-1.0878165882071624e-16,10,-0.13255640223574136,100.0,1996,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8,3,0,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,12,0.07872363256648453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,-0.02450027458079497,0.4166666666666667,0.08333333333333333,0.5,0.125,0.0,0.875,3,1,1
train,9,10,-0.7331755069574591,10,-0.31590142421616185,91.0,2003,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11,2,0,2,0,2,0,2,0,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,-0.7474389197139202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,-0.018921308332122768,0.1,0.25,0.65,0.2727272727272727,0.36363636363636365,0.36363636363636365,1,1,1
